"exit-static-temperature-rfile"
"Iteration" "exit-static-temperature"
("Iteration" "exit-static-temperature")
20000 361.1500197882737
20001 361.1503284726483
20002 361.15063714435
20003 361.1509457957848
20004 361.1512544268398
20005 361.1515630374107
20006 361.1518716274441
20007 361.1521801968782
20008 361.1524887456717
20009 361.1527972737899
20010 361.1531057886506
20011 361.1534142752964
20012 361.1537227411573
20013 361.154031186187
20014 361.1543396103372
20015 361.1546480135506
20016 361.1549563957629
20017 361.1552647568672
20018 361.1555730967862
20019 361.1558814153933
20020 361.1561897125937
20021 361.1564979882767
20022 361.1568062423449
20023 361.1571144747053
20024 361.1574226852711
20025 361.1577308739703
20026 361.1580390407634
20027 361.1583471856074
20028 361.1586553084872
20029 361.1589634093669
20030 361.1592714882162
20031 361.159579544998
20032 361.1598875796587
20033 361.1601955921346
20034 361.1605035823144
20035 361.1608115500985
20036 361.1611194953627
20037 361.1614274552708
20038 361.1617354137637
20039 361.1620434483659
20040 361.1623515490082
20041 361.1626596851263
20042 361.1629678367923
20043 361.1632759911314
20044 361.1635841397623
20045 361.1638922772237
20046 361.1642003999119
20047 361.1645085054548
20048 361.1648165922656
20049 361.165124659292
20050 361.1654327058455
20051 361.1657407314787
20052 361.1660487359197
20053 361.1663567190161
20054 361.1666646807328
20055 361.1669726210613
20056 361.1672805399922
20057 361.1675884375513
20058 361.1678963137767
20059 361.1682041687158
20060 361.1685120015491
20061 361.1688198110364
20062 361.169127596942
20063 361.1694353601799
20064 361.1697431021011
20065 361.1700508238583
20066 361.1703585260563
20067 361.1706662087379
20068 361.1709738715692
20069 361.1712815141234
20070 361.1715891360149
20071 361.1718967367377
20072 361.1722043149624
20073 361.1725118688174
20074 361.1728193962643
20075 361.1731268954227
20076 361.1734343647994
20077 361.1737418034521
20078 361.1740492110264
20079 361.1743565966785
20080 361.1746639507578
20081 361.1749712743291
20082 361.1752785687179
20083 361.1755858353888
20084 361.1758932316329
20085 361.1762007200142
20086 361.1765082614143
20087 361.1768158329918
20088 361.1771234206144
20089 361.1774310150512
20090 361.1777386100284
20091 361.1780462011187
20092 361.1783537850891
20093 361.1786613595937
20094 361.1789689231363
20095 361.1792764743109
20096 361.1795840120825
20097 361.179891535694
20098 361.1801990445953
20099 361.1805065383717
20100 361.1808140167294
20101 361.1811214793962
20102 361.181428926116
20103 361.1817363566271
20104 361.1820437706497
20105 361.1823511678884
20106 361.1826585480287
20107 361.1829659107539
20108 361.1832732557625
20109 361.1835805827689
20110 361.183887891502
20111 361.1841951817283
20112 361.1845024532245
20113 361.1848097058617
20114 361.1851169395034
20115 361.1854241540584
20116 361.1857313494968
20117 361.1860385257871
20118 361.1863456824564
20119 361.1866528173232
20120 361.1869599267213
20121 361.1872670059749
20122 361.1875740497636
20123 361.1878810525578
20124 361.1881880090558
20125 361.1884949145335
20126 361.1888017652414
20127 361.1891085585816
20128 361.1894152931796
20129 361.189721968932
20130 361.1900285869048
20131 361.1903351491251
20132 361.1906416583717
20133 361.1909481179759
20134 361.1912545315594
20135 361.1915609028769
20136 361.1918672356056
20137 361.1921735332769
20138 361.1924797991459
20139 361.1927860361432
20140 361.1930922468572
20141 361.1933984335343
20142 361.1937045980737
20143 361.1940107420873
20144 361.194316866908
20145 361.1946229736317
20146 361.1949290631466
20147 361.1952351361676
20148 361.1955411932964
20149 361.1958472349918
20150 361.1961532616224
20151 361.1964592734831
20152 361.1967652708025
20153 361.1970712537495
20154 361.1973772224522
20155 361.1976831769994
20156 361.1979891174266
20157 361.1982950437552
20158 361.1986009559814
20159 361.1989068540588
20160 361.1992127379219
20161 361.1995186089586
20162 361.199824472002
20163 361.2001303300671
20164 361.2004361845706
20165 361.2007420354283
20166 361.2010478812829
20167 361.2013537199507
20168 361.201659548931
20169 361.2019653658127
20170 361.2022711684743
20171 361.2025769552016
20172 361.202882724667
20173 361.2031884758931
20174 361.2034942081996
20175 361.2037999210706
20176 361.204105614101
20177 361.2044112869567
20178 361.2047169393406
20179 361.2050225722642
20180 361.2053281883577
20181 361.205633789711
20182 361.2059393777287
20183 361.206244953005
20184 361.206550515401
20185 361.2068560642019
20186 361.2071615983425
20187 361.2074671166424
20188 361.2077726179518
20189 361.2080781012534
20190 361.2083835657454
20191 361.2086890107916
20192 361.2089944337112
20193 361.2092998322642
20194 361.2096052070932
20195 361.2099105587634
20196 361.2102158877883
20197 361.2105211946069
20198 361.2108264795974
20199 361.2111317430666
20200 361.2114369852911
20201 361.2117422064922
20202 361.2120474068791
20203 361.2123525866243
20204 361.2126577458964
20205 361.2129628848193
20206 361.2132680035551
20207 361.2135731022066
20208 361.2138781808921
20209 361.2141832397161
20210 361.2144882787878
20211 361.2147932982181
20212 361.2150982980915
20213 361.2154032784741
20214 361.2157082394561
20215 361.2160131810965
20216 361.2163181034415
20217 361.2166230065498
20218 361.2169278904587
20219 361.2172327551994
20220 361.2175376008058
20221 361.2178424268893
20222 361.2181472329981
20223 361.2184520196253
20224 361.218756786903
20225 361.2190615349325
20226 361.2193662637952
20227 361.2196709735797
20228 361.2199756643546
20229 361.2202803361695
20230 361.2205849890981
20231 361.2208896231789
20232 361.2211942384602
20233 361.2214988349758
