"report-file-3"
"Iteration" "exit-velocity"
("Iteration" "exit-velocity")
20000 685.8281927042799
20001 685.8287779716288
20002 685.8293631524239
20003 685.8299482692365
20004 685.8305333221584
20005 685.8311183112636
20006 685.8317032366101
20007 685.8322880982739
20008 685.8328728963119
20009 685.8334576307623
20010 685.8340422792065
20011 685.8346268866723
20012 685.8352114306904
20013 685.8357959113372
20014 685.8363803286579
20015 685.8369646826933
20016 685.8375489734917
20017 685.8381332011495
20018 685.8387173656988
20019 685.8393014672415
20020 685.8398855058228
20021 685.8404694815313
20022 685.8410533944239
20023 685.8416372445555
20024 685.8422210319595
20025 685.8428047566745
20026 685.8433884187035
20027 685.8439720180377
20028 685.8445555546508
20029 685.8451390285121
20030 685.8457224395779
20031 685.8463057877938
20032 685.8468890731352
20033 685.8474722955705
20034 685.8480554550821
20035 685.8486385517012
20036 685.8492215854415
20037 685.8498045564265
20038 685.8503874634996
20039 685.8509703045636
20040 685.8515530793721
20041 685.8521357879232
20042 685.8527184300974
20043 685.8533010058082
20044 685.8538835151584
20045 685.8544659583457
20046 685.8550483356671
20047 685.8556306474718
20048 685.8562128940961
20049 685.8567950758643
20050 685.8573771930381
20051 685.8579592458492
20052 685.8585412344576
20053 685.8591231589891
20054 685.859705019515
20055 685.8602868160941
20056 685.8608685487491
20057 685.8614502175142
20058 685.8620318224089
20059 685.862613363434
20060 685.8631948414653
20061 685.863776257801
20062 685.8643576127646
20063 685.8649389055164
20064 685.8655201348032
20065 685.8661012995547
20066 685.8666823992197
20067 685.8672634337493
20068 685.8678444035132
20069 685.8684253089585
20070 685.8690061505933
20071 685.8695869287692
20072 685.8701676437512
20073 685.8707482957111
20074 685.8713288847024
20075 685.8719094106367
20076 685.8724898732979
20077 685.8730702723498
20078 685.8736506073942
20079 685.8742308784233
20080 685.8748110848381
20081 685.8753912263918
20082 685.8759713029868
20083 685.8765513146855
20084 685.8771312599113
20085 685.8777111395607
20086 685.8782909541318
20087 685.8788707037797
20088 685.8794503885923
20089 685.8800300087717
20090 685.8806095645423
20091 685.8811890561987
20092 685.8817684840883
20093 685.8823478485618
